study_programme,degree_programme,planned_grad_year,today_feeling,physical_health,student_needs,students_sugg_to_improve_wellbeing
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,5.0,5.0,i wish i could have more connections with other students or i wish there could be some online social activities for students that could help me know new friends.,"will there be some websites that collect most public announcements of recent activities, public speech and entertainment? before i used to know these things on posters, but now i wish i could know what is happening in tu delft even i did not go to school."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,4.0,6.0,a proper holiday between terms 3 and 4.,"by providing a holiday between terms 3 and 4. because the easter holidays which are meant to replace a holiday inbetween the two terms falls right before our end of term exams, this results in many students not taking a break but studying instead. this means that students do not have a proper break which means that students get more stressed."
civil engineering and geosciences (ceg),masters,no,4.0,5.0,i feel i am really distanced from the tu environment,more physical interactions and activities'
industrial design engineering (ide),masters,no,6.0,6.0,"the courses are not coordinated, juest because we are at home it doesn´t mean we are going to spend all the time fullfilling the amount of work they ask us to do. i think the master abuses the self study, i like guidance and i feel i don't have this here even when i had to pay more than other students (dutch and eu). i feel neglected because it's clear there's a lack of guidance at the beginning of each semester because we are mixed with people from previous years.","coordinate the courses deadlines for you to look at the amount of tasks we have to do. a line of assistance should be available (proper classes) not only the mail of professors, not all of them answer. add information on your main page about when i have to pay the next year, it's very annoying to beg for something that at the end benefits both of us (payment of education)."
applied sciences (as),masters,no,5.0,8.0,"it would help a lot of the courses would adjust to the situation. i think students would benefit a lot these days to have more griup project or group assignments with people they don't know instead of working all alone, all the time.",for when corona is over: organize a massive party with the entire uni! happiness and well-being is not only about the now but also what we look forward to :)
aerospace engineering (ae),masters,no,5.0,8.0,i need a partial refund of my tuition fees and a place to stay after the end of my housing contract.,give partial refund of the tuition fees of the current academic year.
aerospace engineering (ae),bachelors,no,7.0,10.0,"delft is doing a great effort with the situation, but the biggest thing missing at the moment is a feeling of being at university. just the good type of pressure of being surrounded by other people working and being required to actively do things",just push as much as possible for anything that isn't online
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,1.0,8.0,"flexibility to extend study without financial burden. all the activities planned by university try tackle current situation. but the real devil lies in the future, everything is so uncertain that a student can hardly think about only present and be happy. unless a student is given some assurance about future, the mental stress would be unavoidable.",1) really need some outdoor activities in group. however i understand the restrictions.  nothing else i can think of. to every student it is very clear that university is running out ideas for dealing with the situation. the situation is so bad that the suffering students themselves are clueless about things that can be done to improve the situation.
civil engineering and geosciences (ceg),masters,yes,2.0,8.0,financial support is the biggest crisis that we face. the uncertainty of graduating on time and the difficulty to find an internship at a company is very excruciating,"open more physical activities, reduce the waiting time for talking to a psychologist at tu, restricted events in terms of number for social interaction"
"technology, policy, and management (tpm)",masters,yes,4.0,7.0,practical information on getting help: - how the dutch healthcare system works - the coverage of insurance for psychological treatments - regeling profileringsfonds,encourage teachers to be open for discussions related to wellbeing with their students..
civil engineering and geosciences (ceg),masters,no,8.0,9.0,compensate non eu second year students. we didn't sign up for online lectures when we said yes to 18.750 eur per year. that is the price for live lectures. for online lectures should be reduced for last year and this year.,organize activities where we actually see other students. we do not like joining other online events. we are tired of those.
"technology, policy, and management (tpm)",masters,yes,7.0,5.0,unjustified high tution fee,work on helping the present students financially instead of focussing on reducing tution fee for next academic year when the problem might be non-existent or students know what they are signing up for.
aerospace engineering (ae),masters,no,7.0,3.0,"tu delft needs an overall improvement in the education quality (better faculty, better teaching methods...). also, particularly for msc/phd students, the university should not limit where (physically) they can do internships or not (or live/travel). it looks to us that tu delft is acting as a government/court, specially when other european (and dutch) universities allows their students to travel (including usa, china,...) for some academic/research activities. also, regarding mandatory internships, the university should/must provide an internship to all of their students for whom the internship is mandatory, and on time, so they do not need to extend their studies. if not possible, the university must offer an alternative to the internship (always, not only with the coronavirus crisis).","instead of making new good things (i.e. wellbeing week) to hide the downsides of the university, the university should improve the bad things and not annoy/sink their students."
aerospace engineering (ae),masters,no,6.0,9.0,"having access to my faculty, even if just for studying",access to faculties?
applied sciences (as),masters,no,5.0,5.0,i need more events connecting me to others within my own study program,"in my own experience the most impactful thing that can be done to help students is shifting to a project-based, rather than exam-based, grading criteria. exams heighten student anxiety, but projects are much more engaging, fulfilling, and give students more of an opportunity to work together and connect over a shared goal."
aerospace engineering (ae),masters,no,6.0,7.0,"feedback and communication with the lecturers, tas, etc. the learning process is supported by interaction with people that can guide and correct you and not by some videos posted on brightspace, tons of assignments and no one to discuss the materials with. and to be clear: of course we discuss among fellow students, but input from professors and tas is required to solve doubts, give new inputs, correct errors,...","well, i've mentioned it a couple of times in the previous questions, but: professors have to learn how to teach online, students are not just viewers, they have to actively support students and encourage interaction. right now, the only difference between my msc and a mooc is that i'm paying much more.  additionally: clarity. a statement like for master students everything will be online this academic year, except certain course does not help. there should be a clear decision, since many people structure their current lives around such statements. not knowing if a (mandatory) on campus activity will take place or not and when is not acceptable. for some of us this means not being able to go back home to our families and instead spend weeks alone in our rooms in delft, because we do not know when certain activities will take place and with current regulations you cannot 'quickly' come to the netherlands for a lab exercise or alike."
aerospace engineering (ae),bachelors,yes,7.0,9.0,having to resist exams can be very demotivating and put too much pressure on students when they’re supposed to be focused on what they’ve learnt during the quarter. i truly think performance would increase if exam weeks came first and then there was a separate resit week with a possible few days break in between. this will allow students that have been affected by the ongoing coronavirus situation focus on present learning and not have a constant reminder of their poor performance during the previous exams while they have to do new ones.,schedule resit exams after regular exams in exam season.
aerospace engineering (ae),bachelors,no,9.0,8.0,flexibility of the university regarding students not feeling safe on campus with corona when reopening certain facilities.,"reduce the amount of deadlines with which the students have to deal for different courses, as students may feel stressed at home when needing to cope alone with this situation. one big exam at the end of the course may be more efficient than 4 group homeworks (in which some students have to 90% of the work others should normally do...) and an exam."
aerospace engineering (ae),bachelors,no,7.0,2.0,the tu has done all it can really; i don't blame them. we're just victims of circumstance after all.,"there's nothing that can be done except to have some spark in my life. unfortunately, there is not much that the tu can do for me short of opening in person group projects or lectures."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,7.0,8.0,waiting time / list for psychologists and counsellors is too long. 7 weeks is simply unreasonable when someone needs to meet with a psychologist. maybe create like a phone line where you can just call to vent or to have someone to talk to. (113 is not good enough as its marketed as a suicide helpline and calling it for any other reason seems wrong (even if its ok - i personally wouldn't call unless it was about suicide and i feel others would agree)),phone line (as previous answer) hire more psychologists if the waiting time is so long also hire more diverse academic counsellors - one of them said - oh we don't understand the culture well enough to help -> then hire someone who does instead.
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,7.0,5.0,financial support from the university or some sort of compensation such as an extended period to finish studies or take additional courses to account for the fact we are paying for services and an experience we are not receiving. addressing the sexism in the student body. better facilitation of creating a community for students to branch outside of their current social circle.,financial support
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,3.0,8.0,open up the campus as soon as fucking possible!,open up the campus as soon as fucking possible!
"technology, policy, and management (tpm)",masters,yes,7.0,7.0,"sports and fitness to open as soon as possible, a lot of people are down as its not open","as i mentioned previously, some measures to cope, like sports, meditation or fitness or some kind of social events be made available to some extent, if its feasible and legal to do so."
industrial design engineering (ide),masters,no,3.0,2.0,"i am in huge need of a mental break from it all and more time outside and regular fun exercise, though im not sure in what form",free workouts every so often? care package?
architecture and the built environment (a&be),masters,no,5.0,5.0,feels like there is so much that could be done. maybe having a student and university-led committee that brainstorms and executes on solutions to deal with this mental-wellbeing crisis.   no online events - physically distanced social activities. exercising in the park with tu? coffee/tea on the roof of the library? mindfulness walk/trail with tu? discover delft on bikes with tu?,as previously stated.   thanks :)
architecture and the built environment (a&be),masters,no,5.0,7.0,i just want to finish my study as soon as possible.,not really
industrial design engineering (ide),masters,no,5.0,7.0,there should be an introduction week for students starting in february. especially during lockdown when it's easy to become lonely.,- introduction week for new students also in february - try to do as much as possible on campus (just going to campus once a week would make a huge difference!) - organize events where people can meet new people within restrictions
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,3.0,3.0,more face to face interactions with the professors and peers. more sports related events in the university. financial help from the tu as announced by the ministry of education.,have more psychologists availiable.
civil engineering and geosciences (ceg),masters,yes,5.0,4.0,"too much negativity. however, today is a bad day",i honestly believe there is little that a university can do.
aerospace engineering (ae),bachelors,no,6.0,6.0,"study places that are easy accesible, support and help on mental issues",.
"mechanical, maritime, and material engineering (3me)",masters,no,4.0,4.0,please reduce the financial part of the fees as this year most of the education was online and it was so stressful. external events were even more triggering and student happiness over here for me is low,on campus classes and i don’t know if it’s possible but hopefully the dutch students  can become more welcoming. it’s sad how they exclude you just because you’re not dutch and do it right in front of your face by talking the language and excluding you.  i can’t wait to be done with my masters and move on. frankly it’s been depressing
architecture and the built environment (a&be),bachelors,no,4.0,3.0,"please look at it from our perspective. go easy on us, everyone is trying but especially as a first year student, a lot has been taken away from us and having to still perform at this level every week when the attention span is almost at 0, is next to impossible.","go lenient in grading, try some things where students can meet online, and not juet randomly, but maybe sort it by interests or something. i think that would help, to connect sudents with eachother."
aerospace engineering (ae),masters,yes,9.0,10.0,please get the space dept. an hpc system,chocolates and cookies will be appreciated
"mechanical, maritime, and material engineering (3me)",masters,no,7.0,10.0,"i think my biggest concern and what stresses me most is my financial situation and the fact that if i don't find a solution maybe i won't be able to finish my master's. thinking about it distracts me a lot from my studies and sometimes keeps me up at night. i think it would be fare having a reduced fee for the next year considering we had almost non on-campus lectures, neither labs and we were not able to use any sports facilities and very restricted access to the library.",outdoor safe distance cultural activities.
architecture and the built environment (a&be),masters,yes,7.0,7.0,tuition fee exemption (or a huge amount of discount) for 3 additional months if graduation in time (by summer) is not possible (international students).,"providing even more study places, including the ones possible for discussion."
architecture and the built environment (a&be),masters,no,8.0,6.0,"this is not a tu delft policy, but rather a duo's one. i believe that, due to the covid pandemic, the requirements for the student finance could become more flexible, i.e. allow non-working eu students and above 30-year-old students.","one of the aspects of living in the nl as an expat is the sense of belongingness, and this can be achieved through learning the language. i believe it would a good opportunity to extend the offer of free-of-charge dutch courses by allowing students to take the last three (of six) courses without any fees."
civil engineering and geosciences (ceg),bachelors,no,5.0,4.0,financial help,give us a discount on tuition for non-eu students
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,4.0,7.0,even more study places (i know tu is doing as much as they can). online fitness courses offered by x would be amazing!,online yoga classes/ workout classes from x
applied sciences (as),masters,yes,2.0,5.0,where is the sun?,"make competitions by student houses. like scape rooms. that way we have an incentive (winning something, like the google home in the scape room offered to the hp students), an excuse to have human contact with other people (gethering housemates), and the nice akward moments online social events provides us with."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,3.0,9.0,for gyms to open again...,"not really given the restrictions from above... i suppose that without the coronamaatregelen being changed there isn't that much that can be done to improve my personal situation. i wish that the damages of the rules in place would be better considered. e.g. the avondklok is extremely annoying for me. i like to work until around 7-8 pm, after which i am free to see someone - an hour although doesn't really allow for anything. so that means that i need to stop working at like 6 if i want to have some social interactions... but then that ends at like 8:45 pm and then i'm not in the working mindset anymore..."
architecture and the built environment (a&be),masters,no,8.0,5.0,"i left the netherlands during this latest lockdown and returned to my family's home because it felt like everyone did the same since christmas. delft felt very lonely and empty. i am not lonely now, but i am sure many who are still there feel this way. maybe more online group activities can be a nice way to get smaller groups connected.","competitions. creative competitions for different faculties, prizes, stuff to keep people occupied and motivated. things that drive you to improve and create something."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,yes,10.0,10.0,sex,sex
industrial design engineering (ide),masters 2nd year +,yes,6.0,7.0,5,3
aerospace engineering (ae),bachelors,no,6.0,6.0,"the pressure of getting my bsa. without getting it, you just get a letter saying your not worth the effort. that puts up a lot of pressure, doesn’t make you feel welcome or doesn’t give you the guarantee of being able to stay","let people study, dont exert so much pressure with countless weekly tests"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,7.0,8.0,"i need compensation for my tuition fees. as an international masters student, this adds up to a huge burden and stress. paying loads of money each month without any returns makes me feel completely annoyed. also, the shift in my thesis timeline due to covid has led me to believe that there is high possibility of extension causing me to pay more.",i think you should look at more practical aspects. you need to dig deeper to the cause of mental instability or depression. just focusing on high-level aspects like having meetings or initiating group activities to increase interaction is not going to solve many issues.
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,4.0,4.0,coping with stress/depression due to a medical malpractice and study stress.,"give people more effective means to get mental treatment. you have a lot of internationals far from home, with limited financial means. the gp is not enough. your mental health on campus in not enough. a link to have phonecalls with people dedicated to 'pro-activity in studies' is not enough. people are shy when reaching out about mental health issues. it has to feel safe. you need more psychologists on campus, shorter waiting times and better visibility on how to reach them. a process that does not make people feel like they are standing in line for a cashier in jumbo. something that does not rush out students in difficult situations."
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,6.0,7.0,i have had ongoing issues with depression and anxiety since (officially) 2015,it does not make sense to put all the onus of self-care on the students and to treat well being issue during time as an individual not systematic issue.  why is there no university wide effort to reduce courseload for students within a reasonable limit to avoid burnout? why is there no effort to make sure students can still attend lectures and complete work when they do not have access to a computer? why not make the faculties arrange their deadlines better internally so you do not have quite periods followed by impossible amounts of work?
"technology, policy, and management (tpm)",masters,yes,2.0,4.0,"motivation to finish, supervision","conversation over mental health outside of the initiatives (instead of creating wellbeing week, making sure professors are aware of this and cover this during meetings); create better thesis circles; guarantee supervision of students when they are working individually"
industrial design engineering (ide),masters,no,6.0,7.0,just a need for advice how to survive financialy.,"when regulations allow more, organise some meeting events and please think about involving last september's students into the intro weeks for the upcoming 2021 september. we haven't had a proper introduction and it would be a huge boost for us."
aerospace engineering (ae),masters,yes,5.0,9.0,need my department to reopen to students doing a computational thesis. i find it extremely lonely to be in such a situation.,open departments as soon as possible.
architecture and the built environment (a&be),other,no,4.0,6.0,in person areas for studio class or partial class for collaboration and interaction,small groups for studio class in person
"mechanical, maritime, and material engineering (3me)",masters,no,1.0,6.0,nothing specific. thanks for hearing out!,"no idea. i tried almost everything, and i am at a point where i lost motivation to even motivate myself.  one more point to add:  i feel like people of the same country/culture of origin seem to cluster. it was never a problem for me to interact with a diverse range of people, but there are people who are reserved and need much more space to start diffusing themselves into the crowd. we never got the luxury of physical interaction in almost half a year. again, i don't think online activities will help the amalgamation. pls, don't think of another online event for this (or maybe i am just tired to think haha!!!)"
"mechanical, maritime, and material engineering (3me)",masters,no,7.0,7.0,more study places,study buddy programme
aerospace engineering (ae),bachelors,no,2.0,8.0,"- in-person classes - bsa removal - help with my courses (will probably go talk to an academic counsellor, so i guess that's covered)",make the courses compelling or in some way interesting remove the bsa fear so that we may continue studying this course once the situation is better.
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,5.0,7.0,any offline activities; more online possibilities to spend time with fellow students and meet new friends,more opportunities for students to socialize
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,7.0,5.0,to exercise more.,"for msc applied mathematics, internationals are having difficult time in the second semester, since everyone is taking different courses all of a sudden. i would suggest to rearrange courses so that there are large common courses in the second semester as well. that would provide tighter student community and then the internships and theses afterwards would be much more pleasant, with more friends aquired."
civil engineering and geosciences (ceg),masters,yes,1.0,3.0,"due to the delay and piling student debt, i feel betrayed by the university in failing to offer any significant financial lenience to international students. most of the thesis work has to be done by the students on their own with barely any support from the university. in addition, i feel guilty about the delay in graduation due to constant stress and crippling loneliness.","yes. please help out the international students, who are stuck with their thesis and have a delayed graduation, with financial lenience. more than a thirteen thousand euros a month for a couple of meetings with supervisors is extremely tough to digest and deal with."
"technology, policy, and management (tpm)",masters,no,8.0,7.0,the opportunity for project groups to work together at the campus,"physical lectures, drinks outside (at 1.5 m) per study as soon as the weather allows it"
industrial design engineering (ide),masters,yes,3.0,3.0,i just need a break,buy a vr headset to every student so we can at least meet through there
"technology, policy, and management (tpm)",masters,no,6.0,6.0,looking forward to the engagement with the department regarding the specializations and electives. hopefully we can motivate each other to look for nice internships and jobs during summer.,reach out to a student via unibuddy
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,4.0,6.0,"less study load. i mean think about it. because of the pandemic, lectures and whatnot are twice as bad and exams are twice as hard, 2 x 2 = 4. so our lives are quadruples times as hard. and trust me, i understand. i understand why the exams are harder. i understand why the lectures are not as good. but this is not working and something needs to change...","honestly, you guys are trying, and i appreciate you guys for that. but im out if ideas at this point"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,4.0,5.0,"i feel the need to just go to university and chat with fellow students, or go out for drinks with fellow students. i very much miss real interactions.",by facilitating real-life interaction between the students.
civil engineering and geosciences (ceg),masters,yes,6.0,9.0,loneliness and lack of motivation,"increase the spots for each activity as they were very limited and i couldn't participate in the ones i was most interested in because of that promote the formation of groups according to interests, just for the need of talking (only talking sometimes helps)"
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,9.0,6.0,get us some free coffee once or twice a week ;,"honestly i don't think you can, it's certainly good that you all are trying but honestly there is very little you can do to actually help."
civil engineering and geosciences (ceg),masters,no,8.0,6.0,waiting for the gym's to open.,organize a speed dating event. could be an actual speed dating thing or friend meeting. have ready questions that pop up when people enter the room so there is a conversation point and not get akward.
aerospace engineering (ae),masters,yes,6.0,8.0,i hate socialising or interacting online. i don't want to look at a screen for a long time but i'm forced to do that.,"i honestly have no idea. i wish i did. maybe if i got a good gap to think about it, i really would."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,5.0,7.0,"my only need would be to get this pandemic over with, so the campus can reopen.",keep it up.
architecture and the built environment (a&be),masters,yes,6.0,6.0,"social activities, a possibility of doing sth else rather than studies","- increase the accessibility and awareness about the psychologist and consultancy services, and decrease the waiting time - host and inform students about social activities in small groups  - offer more study related opportunities related to missing networking- traineeships, internships, guest lecture - provide a financial support for students"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,4.0,7.0,elephant in the brain.,by letting second years into campus
"technology, policy, and management (tpm)",masters,no,7.0,9.0,spaces/moments to socialize.,creating open weekly/bi-monthly support groups with psychologists/therapists where students can join to have a weekly chat to check up on each other and share about how they are feeling.
civil engineering and geosciences (ceg),masters,yes,5.0,7.0,- financial difficulties - anxiety,"i think it is very important that you have available for the psychologist's appointments with a much shorter wait time. it is crazy that you need to wait almost 2 months to get listening. i think you could also be more aware of the extra challenges international students face. especial programs should be applied to this, we are all really happy and proud of being part of tu delft and it would be great to get some of that feeling back from you. maybe, programs to introduce us more to dutch culture: food, museums, spaces to practice dutch...  i think it is also a good idea to focus a bit more on sports and cultural activities within the university: organize events where people can take place in this kind of activity is very important!"
aerospace engineering (ae),masters,yes,7.0,9.0,the help to master students and people writing their thesis is non-existent and worrying. during my internship i was not able to contact anyone from the university apart from having to take my lunch break to attend walk-in hours.,more supervision and attempting to build interpersonal relationships between staff and students.
architecture and the built environment (a&be),masters,no,2.0,1.0,"we would prefer real actions, not just well-beeing checks and lectures about stress. a student committed suicide and it was silenced. the university cannot afford to act without empathy. that's pure hypocrisy.",alleviate actual course stress. make professors get into students' shoes. reduce the demands and acknowledge the poor times we are all going through.
industrial design engineering (ide),masters,no,8.0,10.0,accessing a more ergonomic environment to study,"encourage physical (save) events, things possible partnering with groups of 2 (with the current measures)"
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,9.0,9.0,"more campus days and experience of how it is to be a tu delft student, how is it to sit at the campus desks and how is the view from the windows of the classes","i think you do everything you can as far as the rules allowed, sadly no one can control corona and its impacts nowadays but we have started seeing light in the tunnel edge"
aerospace engineering (ae),masters,yes,0.0,3.0,international students should be given some relaxation in fee payment.,take action sooner.  prevention is better than cure.
industrial design engineering (ide),masters,yes,7.0,9.0,one month remission of my tuition fee for the possible delay of my graduation.,"open more corona-proof public space and brings people to the environment. as an introverted person, i would like to have people around but not necessarily interact directly."
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,6.0,6.0,"there have been no measures to help non-eu students cope with the corona situation. every other student has some financial burden taken off in terms of reduced fees because we don't get the same level of learning as usual. we don't hace access to study spaces, library or the department.",more study space would help improve concentration and motivation.
industrial design engineering (ide),masters,yes,2.0,5.0,"students have very little access to faculty resources, especially when courses rely on making prototypes etc. consequently, students will not be able to perform as good well as students before corona crisis. how exactly is this reflected in the grades? what expectations are lowered compared to pre-corona grading processes? this must be quantified and adapted into programs.","faulty expects the same quality of results as pre-corona time, even though students have highly restricted access to facilities. when a friend pointed out this to a couple of professors, the reply was that we need to be proactive and resourceful designers. so basically it does not matter what the situation is, the quality of the results must not change. i understand being a top college means being ambitious, but there is a fine line between ambition and insensitivity....most of us live in a box, with no family or social life. meeting people online and talking about wellness is ok, but it only becomes another slot in an extremely busy schedule, and can only help so much."
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,8.0,6.0,- support for people people struggling with online education and the mental effects of the pandemic in terms of less harsh rules - no “6 days to register for exams” and otherwise no exams and you may have a study delay because of that as it is doing the opposite than helping students - some offline activities when possible - more social events even if online - more things like well-being week (especially yoga),- offline study activities where possible - more social events even if online - more opportunities to connect with a community such as well-being week
applied sciences (as),masters,no,7.0,5.0,"a place to work on group proyects with the corresponding covid measures, this could make studying and working a lot more efficient",opening more study places was a huge improvement. opening some x areas would help a lot for students to do something different than studying every now and then even if the capacity and availability is reduced
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,yes,0.0,7.0,need a psychiatrist!!!! not these surveys!!,no.
"mechanical, maritime, and material engineering (3me)",masters,no,5.0,8.0,"being more informed  about the plans of the tu delft, i would like to be able to plan the next month better.","sending physical copies of at least one course book. so people spend less time in front of the screen. engage professors to involve students in the lectures (polls etc), sharing exam information early, not doing rpnow exams, organising stuff like the ultramarathon again (maybe competition between departments??)"
